CountryID,Country,Cluster,Silhouette
4,Afghanistan,1,0.8260967064273992
8,Albania,1,0.7791235702658087
12,Algeria,1,0.843694591271573
20,Andorra,1,0.20041541000058294
24,Angola,1,0.8401344890843208
28,Antigua and Barbuda,1,0.7182726593763756
31,Azerbaijan,1,0.8417200818264036
32,Argentina,1,0.8141807518172935
36,Australia,2,0.28208678726783026
40,Austria,2,0.24703770195702976
44,Bahamas,1,0.5247783629262996
48,Bahrain,1,0.3453470845055228
50,Bangladesh,1,0.8433138275094242
51,Armenia,1,0.8419959607167344
52,Barbados,1,0.7209131444326842
56,Belgium,2,0.169085311704986
60,Bermuda,2,0.2892737199558462
64,Bhutan,1,0.8395058504727574
68,Bolivia (Plurinational State of),1,0.8442409193845603
70,Bosnia and Herzegovina,1,0.8175404402973456
72,Botswana,1,0.8268080301890645
76,Brazil,1,0.8350718723363737
84,Belize,1,0.8434638057827816
90,Solomon Islands,1,0.8142932833632083
92,British Virgin Islands,1,0.07772227268069576
96,Brunei Darussalam,1,0.36929213303615344
100,Bulgaria,1,0.7421272946504537
104,Myanmar,1,0.837989629226696
108,Burundi,1,0.8245641523999794
112,Belarus,1,0.8306737218409439
116,Cambodia,1,0.8425538264208263
120,Cameroon,1,0.8400319017349311
124,Canada,2,0.11815864278982793
132,Cabo Verde,1,0.8363118639718204
136,Cayman Islands,2,0.2954199735042631
140,Central African Republic,1,0.827866536657327
144,Sri Lanka,1,0.8480209933360334
148,Chad,1,0.8361458052817522
152,Chile,1,0.7528214833677811
156,China,1,0.7424378863063869
170,Colombia,1,0.8447014339311618
174,Comoros,1,0.8276631932601065
178,Congo,1,0.8373074634954755
180,D.R. of the Congo,1,0.8266431453409276
184,Cook Islands,1,0.706507592132581
188,Costa Rica,1,0.7967353011879966
191,Croatia,1,0.749283537429323
192,Cuba,1,0.8009467012015026
196,Cyprus,1,0.3653644659966322
203,Czechia,1,0.3902055189340871
204,Benin,1,0.8387031874579145
208,Denmark,2,0.36929178603284935
212,Dominica,1,0.7492668783973684
214,Dominican Republic,1,0.8116446036000743
218,Ecuador,1,0.8391636212322382
222,El Salvador,1,0.8440056832072144
226,Equatorial Guinea,1,0.8141880338075357
231,Ethiopia,1,0.8374663738346407
232,Eritrea,1,0.8267840549061216
233,Estonia,1,0.45353388452246496
242,Fiji,1,0.8319132633624268
246,Finland,2,0.20429192385160402
250,France,1,0.10661223548131259
258,French Polynesia,1,0.6927728681862603
262,Djibouti,1,0.7741799596868081
266,Gabon,1,0.8239236810323999
268,Georgia,1,0.8463461385039021
270,Gambia,1,0.8319198429127722
275,State of Palestine,1,0.8454294823169249
276,Germany,2,0.11968105559934583
288,Ghana,1,0.8429944078743346
296,Kiribati,1,0.8402401939169976
300,Greece,1,0.5564158710937696
304,Greenland,2,0.07789402622679452
308,Grenada,1,0.8204816385011114
320,Guatemala,1,0.844828162785402
324,Guinea,1,0.8350534525435843
328,Guyana,1,0.7244571703151225
332,Haiti,1,0.8409087723173667
340,Honduras,1,0.8470691906940025
344," China,Hong Kong SAR ",2,0.1340372599265374
348,Hungary,1,0.64887878835369
352,Iceland,2,0.31622732859833846
356,India,1,0.8434978124994008
360,Indonesia,1,0.8378641489813352
364,Iran (Islamic Republic of),1,0.6758733382751704
368,Iraq,1,0.8358136025052104
372,Ireland,3,-0.35426467556955854
376,Israel,2,0.1584432983326315
380,Italy,1,0.3779206322425927
384,Côte d'Ivoire,1,0.8324029502549763
388,Jamaica,1,0.8426046140372103
392,Japan,1,0.1717752112058599
398,Kazakhstan,1,0.7999700586819884
400,Jordan,1,0.8422184658632949
404,Kenya,1,0.8401285888519802
408,D.P.R. of Korea,1,0.797094291985313
410,Republic of Korea,1,0.3083712238952405
412,Kosovo,1,0.8388155049992003
414,Kuwait,1,0.4033148776402111
417,Kyrgyzstan,1,0.8379427105403883
418,Lao People's DR,1,0.8422304367802648
422,Lebanon,1,0.8174108763084942
426,Lesotho,1,0.8239949921246509
428,Latvia,1,0.571392378866623
430,Liberia,1,0.8321546896160683
434,Libya,1,0.825252439261152
438,Liechtenstein,3,-0.06239233699384805
440,Lithuania,1,0.5161616568204896
442,Luxembourg,3,-0.1723601574531271
446," China,Macao SAR ",1,0.26710740752579887
450,Madagascar,1,0.8264250745493029
454,Malawi,1,0.8305215739485269
458,Malaysia,1,0.7404673983535478
462,Maldives,1,0.7948401647209787
466,Mali,1,0.8365800846815934
470,Malta,1,0.23847627967596835
478,Mauritania,1,0.8372495989061725
480,Mauritius,1,0.8233062849943708
484,Mexico,1,0.8120980957355
492,Monaco,3,0.004387321395418685
496,Mongolia,1,0.7984460986582961
498,Republic of Moldova,1,0.8397888750156076
499,Montenegro,1,0.8079584635518527
500,Montserrat,1,0.708472346575869
504,Morocco,1,0.8441909430381191
508,Mozambique,1,0.8289419452539849
512,Oman,1,0.6051099779621598
516,Namibia,1,0.8453104779014343
520,Nauru,1,0.7067218974039483
524,Nepal,1,0.8396764683417589
528,Netherlands,2,0.24395855187436857
531,Curaçao,1,0.48990530356232104
533,Aruba,1,0.4795154541385925
534,Sint Maarten (Dutch part),1,0.48888353134670426
540,New Caledonia,1,0.27863458110744194
548,Vanuatu,1,0.8302808431232926
554,New Zealand,2,0.06595816747285388
558,Nicaragua,1,0.8418985308055867
562,Niger,1,0.8318196759952363
566,Nigeria,1,0.8402353443618295
578,Norway,2,0.29385510020264766
583,Micronesia (FS of),1,0.8185680535272242
584,Marshall Islands,1,0.7365987763522154
585,Palau,1,0.7464107783934574
586,Pakistan,1,0.8410135365145225
591,Panama,1,0.7042704080887805
598,Papua New Guinea,1,0.8380495750087761
600,Paraguay,1,0.8342090862185405
604,Peru,1,0.831980727266597
608,Philippines,1,0.8419185263713396
616,Poland,1,0.6388447330755631
620,Portugal,1,0.6272278884058652
624,Guinea-Bissau,1,0.834378206078649
626,Timor-Leste,1,0.8402940073800694
630,Puerto Rico,1,0.27987139594361155
634,Qatar,2,0.193678564938291
642,Romania,1,0.7455600754938856
643,Russian Federation,1,0.790628896853897
646,Rwanda,1,0.8330201335934199
659,Saint Kitts and Nevis,1,0.6407166224245663
660,Anguilla,1,0.6296206251171969
662,Saint Lucia,1,0.8058646984004727
670,St. Vincent and the Grenadines,1,0.8209562233595686
674,San Marino,2,0.11991315155324471
678,Sao Tome and Principe,1,0.8435437168671844
682,Saudi Arabia,1,0.6405403135260537
686,Senegal,1,0.8419124728013747
688,Serbia,1,0.8154486033883165
690,Seychelles,1,0.7787211233946325
694,Sierra Leone,1,0.8330671571747185
702,Singapore,2,0.24227635764392258
703,Slovakia,1,0.5892965098377203
704,Viet Nam,1,0.8437276212026705
705,Slovenia,1,0.44602577031937907
706,Somalia,1,0.8320042186619268
710,South Africa,1,0.8317332496657514
716,Zimbabwe,1,0.835068028741892
724,Spain,1,0.5096580227836915
728,South Sudan,1,0.8182025414379087
729,Sudan,1,0.8308932437703844
740,Suriname,1,0.8388243522662567
748,Eswatini,1,0.8437945099713847
752,Sweden,2,0.31351863937681085
756,Switzerland,2,0.2377524941788421
760,Syrian Arab Republic,1,0.835363924993916
762,Tajikistan,1,0.8372660861186084
764,Thailand,1,0.7982869324748643
768,Togo,1,0.834007305154917
776,Tonga,1,0.8182088517044643
780,Trinidad and Tobago,1,0.7272173848935997
784,United Arab Emirates,2,0.018609904312272503
788,Tunisia,1,0.842994911838317
792,Türkiye,1,0.812923417943715
795,Turkmenistan,1,0.7741269795804999
796,Turks and Caicos Islands,1,0.6192997795170117
798,Tuvalu,1,0.8295002097463564
800,Uganda,1,0.8349637335832527
804,Ukraine,1,0.8453200179924434
807,North Macedonia,1,0.8365201280890132
818,Egypt,1,0.8469009228592712
826,United Kingdom,1,0.08643339449790773
835,U.R. of Tanzania: Mainland,1,0.8336355855904088
836,Zanzibar,1,0.8283011466729799
840,United States,2,0.30612136265964085
854,Burkina Faso,1,0.8319789010637405
858,Uruguay,1,0.7072523892663345
860,Uzbekistan,1,0.8391350512081589
862,Venezuela (Bolivarian Republic of),1,0.8383741807660132
882,Samoa,1,0.8462983944198913
887,Yemen,1,0.8213740949121034
894,Zambia,1,0.8239086346882315
