Cluster1,Cluster2,Distanta,Frecventa
51.0,145.0,1.105378247479115,2.0
159.0,170.0,1.2009362514305248,3.0
8.0,56.0,1.4210458648474373,2.0
118.0,158.0,1.56354988223226,2.0
37.0,109.0,1.6284433364412774,2.0
43.0,133.0,1.672345090689573,2.0
115.0,171.0,1.6902065761320424,4.0
35.0,39.0,1.7334998846264746,2.0
20.0,128.0,1.7861189182134543,2.0
126.0,162.0,1.7953500048737001,2.0
77.0,87.0,1.7970222174475206,2.0
66.0,172.0,1.8118303342200668,3.0
48.0,92.0,1.8232550644383245,2.0
165.0,180.0,1.922930087922371,3.0
19.0,143.0,1.9348522939047614,2.0
176.0,181.0,1.946757386013984,7.0
73.0,74.0,2.0044635516766074,2.0
100.0,173.0,2.0217836679526324,3.0
168.0,182.0,2.0376178542602146,3.0
72.0,185.0,2.049159217825692,8.0
144.0,183.0,2.0813730867058533,4.0
22.0,188.0,2.092085206199786,4.0
97.0,177.0,2.1185523406326316,3.0
104.0,113.0,2.132441795777611,2.0
160.0,193.0,2.1349019532521876,3.0
64.0,120.0,2.1605791004923898,2.0
34.0,194.0,2.163037512388539,4.0
71.0,169.0,2.1683278580509913,2.0
123.0,189.0,2.178772452552124,9.0
26.0,198.0,2.182023235439989,10.0
112.0,191.0,2.182237656626794,5.0
25.0,196.0,2.2224250718528173,5.0
14.0,199.0,2.225672426481489,11.0
108.0,146.0,2.2412819300569935,2.0
55.0,111.0,2.2511186632568823,2.0
86.0,202.0,2.284821905532245,12.0
178.0,205.0,2.3009196574413453,14.0
174.0,206.0,2.3106049813847456,16.0
186.0,207.0,2.3151662143353775,18.0
122.0,179.0,2.3163477049009713,3.0
40.0,54.0,2.318921946074189,2.0
90.0,209.0,2.365272774966981,4.0
49.0,106.0,2.377293522054018,2.0
125.0,138.0,2.3779588957759557,2.0
12.0,110.0,2.3919844125746303,2.0
192.0,211.0,2.3922950612330407,7.0
203.0,208.0,2.4003833714638168,20.0
65.0,204.0,2.405812403520246,3.0
16.0,201.0,2.436238087708178,6.0
21.0,213.0,2.4415451664878125,3.0
60.0,217.0,2.442072027906733,4.0
58.0,216.0,2.449503674216473,21.0
68.0,79.0,2.454459665588335,2.0
13.0,221.0,2.457300004069507,22.0
83.0,187.0,2.461509210927011,4.0
69.0,200.0,2.495331589188098,6.0
157.0,224.0,2.497983921055841,5.0
134.0,197.0,2.5105634984998892,3.0
215.0,223.0,2.5168431993272837,29.0
15.0,152.0,2.5334259018175374,2.0
38.0,228.0,2.54438856702352,30.0
75.0,214.0,2.545623306775768,3.0
50.0,102.0,2.5513333239700384,2.0
0.0,11.0,2.5551269630155957,2.0
52.0,230.0,2.6020723356586384,31.0
117.0,184.0,2.6467737869392085,3.0
59.0,231.0,2.657333102943626,4.0
76.0,82.0,2.700221526097443,2.0
195.0,226.0,2.7030796364708745,7.0
218.0,238.0,2.703199170210477,13.0
190.0,229.0,2.70652583952195,6.0
99.0,175.0,2.712525100344696,3.0
119.0,234.0,2.7168629299248788,32.0
7.0,242.0,2.721816268597129,33.0
94.0,240.0,2.7395855051448934,7.0
36.0,244.0,2.7431825859756396,8.0
137.0,141.0,2.754629684730781,2.0
44.0,225.0,2.7598828344696074,7.0
61.0,89.0,2.7614767408037326,2.0
88.0,150.0,2.7768580752353897,2.0
2.0,153.0,2.780846989677785,2.0
239.0,245.0,2.792710648250819,21.0
236.0,243.0,2.795633627641505,37.0
81.0,107.0,2.8030388274927405,2.0
212.0,251.0,2.813444470751112,23.0
31.0,252.0,2.8255438786187694,38.0
78.0,255.0,2.825880752968886,39.0
210.0,227.0,2.831435485756298,5.0
4.0,256.0,2.84362743691926,40.0
151.0,254.0,2.851531753103616,24.0
63.0,259.0,2.854000995068768,25.0
124.0,235.0,2.8608359145536464,4.0
258.0,260.0,2.8635715531482715,65.0
62.0,136.0,2.8682552602419396,2.0
241.0,262.0,2.8806370545419275,68.0
3.0,264.0,2.888068125610737,69.0
161.0,265.0,2.912918563914892,70.0
261.0,266.0,2.9142902419334487,74.0
33.0,267.0,2.9218999828878474,75.0
149.0,220.0,2.9676221154318143,5.0
250.0,268.0,2.979466975819669,77.0
247.0,249.0,3.010122703479045,9.0
96.0,271.0,3.0145594852316324,10.0
246.0,270.0,3.0185732291928917,79.0
129.0,273.0,3.0770449167992333,80.0
24.0,272.0,3.0871313933812385,11.0
45.0,274.0,3.0968421661998726,81.0
98.0,269.0,3.1011004064552585,6.0
23.0,276.0,3.1317996120441673,82.0
277.0,278.0,3.14402018933274,88.0
17.0,279.0,3.1675443280244706,89.0
130.0,280.0,3.1858278092200774,90.0
70.0,148.0,3.206752079184407,2.0
139.0,164.0,3.2090807749260533,2.0
248.0,281.0,3.2168233381642506,92.0
103.0,257.0,3.2216476219475036,6.0
253.0,275.0,3.247292333621967,13.0
284.0,285.0,3.255143839942103,98.0
222.0,282.0,3.2722456215844367,4.0
47.0,142.0,3.27297514350476,2.0
114.0,287.0,3.3066934360475573,99.0
57.0,156.0,3.3126165307804647,2.0
288.0,290.0,3.339667350201214,103.0
6.0,292.0,3.3422502763856583,104.0
28.0,293.0,3.366856511137618,105.0
237.0,294.0,3.3762432539732674,107.0
219.0,295.0,3.394499373987275,110.0
29.0,296.0,3.3950393488146786,111.0
289.0,297.0,3.440015058106578,113.0
233.0,286.0,3.487033539435033,15.0
30.0,298.0,3.520713792684659,114.0
263.0,300.0,3.54300165084714,116.0
147.0,301.0,3.5469677430165616,117.0
9.0,302.0,3.5781263264319723,118.0
167.0,303.0,3.5868841207207263,119.0
135.0,304.0,3.6029710044945573,120.0
84.0,305.0,3.6104115402541024,121.0
18.0,306.0,3.6235077024893982,122.0
299.0,307.0,3.626171792676127,137.0
53.0,308.0,3.6742975097289006,138.0
283.0,309.0,3.6888900159804168,140.0
85.0,121.0,3.716382770921209,2.0
310.0,311.0,3.721350687586431,142.0
5.0,312.0,3.72323708350677,143.0
154.0,313.0,3.797698562287427,144.0
105.0,314.0,3.8092096332441474,145.0
232.0,315.0,3.858069159566739,147.0
93.0,316.0,4.110909242572586,148.0
41.0,317.0,4.162212857363257,149.0
140.0,318.0,4.20861860024801,150.0
163.0,319.0,4.2532183614293775,151.0
67.0,320.0,4.2682101541512685,152.0
91.0,321.0,4.376309428045508,153.0
80.0,322.0,4.425060399587784,154.0
46.0,323.0,4.426531279681643,155.0
1.0,324.0,4.509235616547126,156.0
166.0,325.0,4.517778962056466,157.0
10.0,326.0,4.52952484483748,158.0
32.0,327.0,4.602670989977939,159.0
155.0,328.0,4.67244899190826,160.0
95.0,329.0,4.684589561530444,161.0
27.0,330.0,4.746464644343198,162.0
131.0,331.0,4.848361682759747,163.0
116.0,332.0,4.97444288840469,164.0
132.0,333.0,5.167334148333852,165.0
101.0,334.0,5.476162682530271,166.0
291.0,335.0,5.486462850988238,168.0
42.0,336.0,5.609769246591165,169.0
127.0,337.0,5.620628632101574,170.0
