Cluster1,Cluster2,Distance,Nr_instances
93.0,96.0,0.13804948601334222,2.0
33.0,39.0,0.1401525229357989,2.0
64.0,130.0,0.15205477535086284,2.0
127.0,165.0,0.1543925817880672,2.0
13.0,45.0,0.15690966791128666,2.0
72.0,156.0,0.1590514678037273,2.0
61.0,148.0,0.1662843926164437,2.0
22.0,135.0,0.1717724540914072,2.0
82.0,152.0,0.18566091296462767,2.0
28.0,103.0,0.20240265423397355,2.0
54.0,186.0,0.20626205038494835,3.0
71.0,143.0,0.2070131569690664,2.0
117.0,121.0,0.2190492453219385,2.0
7.0,87.0,0.21954998566595973,2.0
21.0,100.0,0.22127660855964124,2.0
77.0,115.0,0.23079683893077543,2.0
18.0,147.0,0.24927601569404215,2.0
34.0,138.0,0.2504929233763169,2.0
11.0,105.0,0.25052268212274365,2.0
52.0,129.0,0.2560443291275342,2.0
5.0,185.0,0.2635933228607222,3.0
118.0,126.0,0.2825752333423671,2.0
172.0,192.0,0.28547853181785904,4.0
65.0,95.0,0.29260923293276275,2.0
27.0,131.0,0.3032258730684545,2.0
47.0,106.0,0.30781587277245503,2.0
197.0,204.0,0.31072126072603146,6.0
41.0,43.0,0.3113529050058485,2.0
109.0,146.0,0.3125601933464707,2.0
174.0,183.0,0.3165349389222953,3.0
1.0,40.0,0.31777209187298844,2.0
157.0,191.0,0.31942622804459,3.0
55.0,187.0,0.3408546970811577,3.0
89.0,128.0,0.34380937785360555,2.0
79.0,195.0,0.3465941322577593,3.0
48.0,86.0,0.35654571309322297,2.0
170.0,210.0,0.35878725834146424,3.0
31.0,176.0,0.36210271302390123,2.0
160.0,200.0,0.36379955304090117,3.0
108.0,169.0,0.379451598363175,2.0
6.0,194.0,0.3803614317547439,3.0
35.0,202.0,0.38299462052453187,4.0
189.0,193.0,0.3909973320584818,4.0
166.0,207.0,0.3949167723621266,3.0
74.0,154.0,0.3963419157001059,2.0
10.0,14.0,0.4056676786783083,2.0
75.0,196.0,0.42365684566623063,3.0
9.0,164.0,0.4320869338649625,2.0
168.0,175.0,0.4373861667722311,2.0
98.0,137.0,0.4409806265715004,2.0
178.0,203.0,0.4511148640310886,3.0
12.0,209.0,0.45430499735747193,3.0
29.0,46.0,0.4621593972458655,2.0
24.0,59.0,0.4673348575199482,2.0
180.0,231.0,0.47068087357856997,3.0
97.0,145.0,0.47305180199265606,2.0
139.0,217.0,0.47990999120375066,3.0
4.0,177.0,0.48061583768577404,2.0
15.0,26.0,0.4977488565998338,2.0
42.0,216.0,0.4978083770320661,4.0
70.0,110.0,0.5073922393073955,2.0
188.0,241.0,0.5160340455979391,6.0
25.0,136.0,0.5191764466827077,2.0
83.0,107.0,0.5237081895903528,2.0
2.0,242.0,0.5244673849029238,3.0
68.0,114.0,0.5357138327209189,2.0
201.0,212.0,0.5361607545425217,4.0
80.0,206.0,0.5412992337877184,3.0
50.0,142.0,0.559579733413039,2.0
20.0,60.0,0.5662717976603142,2.0
81.0,199.0,0.5663497016346077,3.0
213.0,222.0,0.5779271583119177,6.0
66.0,171.0,0.5857511353576893,2.0
62.0,125.0,0.6008241125584155,2.0
208.0,214.0,0.6181660718401064,9.0
163.0,238.0,0.6184195317246881,4.0
58.0,221.0,0.6185043215691669,3.0
37.0,173.0,0.6193993910002157,2.0
19.0,141.0,0.6194415668778509,2.0
94.0,99.0,0.6275206989596737,2.0
234.0,239.0,0.6287867237148776,4.0
116.0,159.0,0.637369732593264,2.0
67.0,153.0,0.6448816416861214,2.0
56.0,69.0,0.6463386453073263,2.0
16.0,133.0,0.648472983170724,2.0
44.0,230.0,0.6525128404650253,3.0
88.0,101.0,0.6562712760566342,2.0
63.0,167.0,0.656741127670101,2.0
198.0,223.0,0.6576907767428664,6.0
17.0,90.0,0.6608221177763114,2.0
124.0,225.0,0.6610070864822649,4.0
8.0,205.0,0.6676889647255017,3.0
132.0,140.0,0.6694054994503001,2.0
244.0,258.0,0.6736423853872275,5.0
184.0,190.0,0.6890215529883608,4.0
220.0,252.0,0.6961436754298198,6.0
73.0,240.0,0.6990059846034712,3.0
215.0,254.0,0.7020390713247757,4.0
38.0,102.0,0.7060092887945042,2.0
91.0,134.0,0.7060230336210137,2.0
236.0,250.0,0.7093735312074746,5.0
32.0,120.0,0.7581671081512271,2.0
218.0,248.0,0.790928811756875,7.0
226.0,227.0,0.8057051741551933,4.0
23.0,271.0,0.8137756159629681,3.0
36.0,161.0,0.8271207422307573,2.0
122.0,278.0,0.8278601078066323,4.0
228.0,229.0,0.8333029978086612,5.0
113.0,255.0,0.8380281623453598,3.0
111.0,249.0,0.8381375164341694,4.0
0.0,267.0,0.8385166456060288,4.0
149.0,280.0,0.8446837782109583,3.0
104.0,261.0,0.8517361565003757,3.0
243.0,256.0,0.8818542373977265,15.0
219.0,270.0,0.9076817404183866,8.0
92.0,155.0,0.9143888489423427,2.0
257.0,273.0,0.9265489455382646,7.0
76.0,263.0,0.9281938281068813,3.0
85.0,259.0,0.9674449550748422,3.0
224.0,284.0,0.9831660970306607,11.0
181.0,287.0,1.0364327764398715,3.0
237.0,253.0,1.0413856511896253,8.0
232.0,246.0,1.0462116328910838,6.0
272.0,289.0,1.060542813432959,9.0
211.0,233.0,1.078330833137948,6.0
262.0,285.0,1.100478591666441,8.0
245.0,279.0,1.1044646715946929,6.0
57.0,282.0,1.1069981677014817,6.0
3.0,49.0,1.124730285843978,2.0
112.0,281.0,1.1479236793994037,3.0
162.0,179.0,1.165616640569406,2.0
150.0,286.0,1.166493810039944,4.0
235.0,294.0,1.2502562029908109,5.0
84.0,268.0,1.2582440634845535,3.0
277.0,296.0,1.2625112736280746,14.0
182.0,266.0,1.2784597215228024,4.0
251.0,299.0,1.2998213989608312,5.0
292.0,302.0,1.311682325887749,7.0
53.0,247.0,1.3381228741286157,3.0
78.0,303.0,1.347215545943333,9.0
265.0,290.0,1.3605070278924905,5.0
264.0,291.0,1.389616455411132,6.0
123.0,269.0,1.4027318574907954,3.0
295.0,306.0,1.4635092024627314,21.0
51.0,151.0,1.5377070017722851,2.0
288.0,320.0,1.6107291266319412,7.0
260.0,305.0,1.6384090378491414,11.0
300.0,309.0,1.6610598300560468,9.0
274.0,324.0,1.683612301565894,5.0
322.0,326.0,1.7893936315667875,7.0
276.0,325.0,1.8146800580572608,25.0
301.0,317.0,1.8239887184295367,15.0
119.0,293.0,1.8267124814823608,4.0
275.0,298.0,1.83532305539757,12.0
304.0,307.0,1.9921214189562462,14.0
310.0,319.0,2.1627293667557614,9.0
311.0,315.0,2.1979054226721466,6.0
313.0,327.0,2.2440864113693446,11.0
308.0,336.0,2.283709079048562,20.0
283.0,334.0,2.371057047871226,6.0
30.0,144.0,2.486575809422531,2.0
314.0,323.0,2.7238212733385896,11.0
312.0,340.0,2.7241382567751318,22.0
321.0,332.0,2.773899591166261,34.0
316.0,328.0,2.8140346908048746,25.0
330.0,339.0,3.127120033646974,16.0
329.0,331.0,3.24279223437778,16.0
341.0,343.0,3.565244615952426,17.0
158.0,333.0,3.7460516667811112,16.0
318.0,344.0,3.8592329108954426,27.0
335.0,346.0,4.006635689181408,37.0
337.0,348.0,4.736054962509936,25.0
297.0,342.0,5.074603610713988,4.0
347.0,351.0,5.571888051819001,43.0
350.0,352.0,5.773615188890289,53.0
349.0,354.0,6.004431998570156,21.0
345.0,356.0,8.958124310308293,87.0
353.0,357.0,9.853428111399634,46.0
338.0,355.0,10.857217997496411,49.0
358.0,360.0,16.52873610281982,136.0
359.0,361.0,39.80553397966645,182.0
